,year,manufacturer,model,condition,cylinders,fuel,title_status,transmission,drive,size,type,paint_color,state,price_log,odometer_log
290857,2005,ford,expedition xlt 4x4 3rd row,good,8 cylinders,gas,clean,automatic,4wd,full-size,SUV,black,wa,8.283999304248526,12.182256273928513
521929,2012,chevrolet,camaro rs,like new,6 cylinders,gas,clean,automatic,rwd,mid-size,coupe,orange,mt,9.711115659888671,10.169230717469155
98974,2015,ford,focus,like new,4 cylinders,gas,rebuilt,automatic,fwd,compact,hatchback,black,tx,8.68270762989381,10.669187925777782
391114,2010,hyundai,elantra,like new,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,silver,or,8.77940359789435,11.571288708267144
279491,2016,volkswagen,jetta 1.4t se,like new,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,silver,me,9.42060129745938,10.448743588106625
28891,2017,hyundai,elantra se,good,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,red,tx,9.259035293514941,10.62015592813742
47500,2004,chrysler,town & country,good,4 cylinders,gas,clean,automatic,fwd,full-size,mini-van,blue,ny,7.313220387090301,12.250137376692274
231538,2019,volkswagen,tiguan,like new,4 cylinders,gas,clean,automatic,4wd,full-size,SUV,green,ks,10.239531125865787,9.852720435482475
528743,2011,ford,f-350,excellent,8 cylinders,diesel,clean,automatic,4wd,full-size,pickup,black,nj,10.308952660644293,11.437231620601029
521983,2008,hyundai,santa fe limited,excellent,6 cylinders,gas,clean,automatic,fwd,mid-size,SUV,white,ar,8.974618038455112,11.238620189560086
55755,2006,ford,f 150 supercab 4wd,good,8 cylinders,gas,clean,automatic,4wd,full-size,truck,green,oh,8.986571625268054,11.891430391495609
537085,2014,dodge,promaster 2500,excellent,6 cylinders,gas,clean,automatic,fwd,full-size,van,white,il,9.898424758193666,10.896924493586937
440668,2014,ram,1500,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,pickup,white,or,9.998797732340453,10.827944847076676
444998,2005,chevrolet,silverado 2500hd,good,8 cylinders,gas,clean,automatic,rwd,full-size,truck,white,ca,8.612503371220562,12.058111934920028
216626,2014,chevrolet,malibu,like new,4 cylinders,gas,rebuilt,automatic,fwd,mid-size,sedan,custom,mi,8.764053269347762,11.390271837213957
156653,2016,chevrolet,silverado 1500 lt 4x4,like new,8 cylinders,gas,clean,automatic,4wd,full-size,pickup,silver,fl,10.124629101179664,11.585246126549855
238305,2013,chevrolet,silverado,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,pickup,white,va,9.9281801651265,11.035050941343924
401219,2015,ram,1500,excellent,6 cylinders,diesel,clean,automatic,4wd,mid-size,truck,black,ia,9.883284845218608,11.682752624182495
26118,2010,jeep,patriot sport,good,4 cylinders,gas,clean,automatic,fwd,mid-size,SUV,silver,pa,8.410720946905721,11.70321519141336
398964,2013,ford,f350,like new,8 cylinders,diesel,clean,automatic,4wd,full-size,truck,black,tx,10.357742824813725,11.608326549733482
104194,1991,honda,prelude si,excellent,4 cylinders,gas,clean,automatic,fwd,sub-compact,coupe,white,pa,8.34283980427146,12.193002603434426
103624,1987,jeep,cherokee,fair,6 cylinders,gas,clean,manual,4wd,mid-size,SUV,black,ak,7.824046010856292,12.019803306488122
311373,2002,jaguar,xrj,excellent,8 cylinders,gas,clean,automatic,rwd,full-size,sedan,black,ok,8.354674261918463,11.918457237522937
211531,2017,chevrolet,traverse,excellent,6 cylinders,gas,clean,automatic,fwd,full-size,SUV,white,mi,10.12643108384767,9.980865173557472
191470,1998,toyota,corolla,excellent,4 cylinders,gas,clean,automatic,fwd,compact,sedan,blue,fl,7.824046010856292,11.676395442078821
262560,2005,chevrolet,silverado 2500hd lt,good,8 cylinders,diesel,clean,automatic,rwd,full-size,truck,blue,ks,9.349667437197281,12.138917370342766
57001,2009,audi,a4,excellent,4 cylinders,gas,clean,automatic,4wd,full-size,sedan,silver,wi,8.867850063029406,11.314596470030457
345916,2008,gmc,yukon denali,good,8 cylinders,gas,clean,automatic,4wd,full-size,SUV,black,or,9.209840246934501,12.173647589505018
383470,1993,chevrolet,corvette,excellent,8 cylinders,gas,clean,automatic,rwd,compact,coupe,white,oh,9.296518068217235,10.985462200051215
155615,2008,nissan,altima 3.5 se,excellent,6 cylinders,gas,clean,automatic,fwd,full-size,sedan,silver,fl,8.611593866837723,12.028004032137915
232144,1999,chevrolet,silverado 1500,excellent,8 cylinders,gas,clean,automatic,rwd,full-size,truck,red,ks,7.9724660159745655,12.40547253385888
256939,2014,ford,f-150,good,6 cylinders,gas,clean,automatic,4wd,full-size,pickup,white,wa,9.852088989450127,11.695330351625486
413564,2013,dodge,charger,excellent,6 cylinders,gas,clean,automatic,rwd,full-size,sedan,black,ca,9.680281499268713,11.163013315982314
425407,2008,volkswagen,convertible,excellent,4 cylinders,gas,clean,automatic,rwd,compact,convertible,white,tx,8.691146498539675,12.025808969845663
413640,2001,buick,park avenue,excellent,6 cylinders,gas,clean,automatic,fwd,full-size,sedan,white,ok,8.294049640102028,11.51042233475211
47400,2007,nissan,versa s,good,4 cylinders,gas,clean,automatic,fwd,sub-compact,hatchback,silver,ny,8.070906088787819,12.013397676656728
13465,2008,buick,lacrosse,good,6 cylinders,gas,rebuilt,automatic,fwd,mid-size,sedan,black,ks,8.202482446576537,11.695330351625486
87577,2005,ford,super duty f-350 srw,excellent,8 cylinders,diesel,clean,automatic,4wd,full-size,truck,red,oh,9.104424146384634,12.164813055278872
262791,2015,jeep,grand cherokee,like new,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,black,ks,9.951706124806602,11.221757323233616
394865,2007,subaru,outback,like new,4 cylinders,gas,clean,automatic,4wd,mid-size,wagon,green,mt,8.699348067653093,12.007682680557155
262632,2012,chevrolet,traverse,excellent,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,white,ny,9.104868739033948,11.930081961667977
94108,2008,honda,accord coupe ex-l,good,4 cylinders,gas,clean,automatic,fwd,mid-size,coupe,black,dc,8.824677891164198,11.48256934495533
335676,2010,toyota,prius,excellent,4 cylinders,other,clean,automatic,fwd,mid-size,hatchback,grey,nc,8.556413904569519,12.043612537831775
202691,2017,nissan,sentra,excellent,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,silver,in,9.383873422737057,10.760134431482768
133381,2010,jaguar,xf premium,excellent,8 cylinders,gas,clean,automatic,rwd,full-size,sedan,grey,az,9.093806555720231,11.44120387391202
418376,2000,ram,2500 4x4,good,6 cylinders,diesel,clean,automatic,4wd,full-size,pickup,blue,ca,8.779557455883728,12.847426406660887
